-,-,-,-,-,-
今天10:44,【数据科学家Python手册：Python基础/数据结构/流程与函数/NumPy/Pandas】“Python for Data Scientists” by Stephen Rimac GitHub:网页链接,https://weibo.com/1402400261/GauPIeORx?refer_flag=1001030103_,转发43,评论8,28
今天11:22,"奶爸，我考上了生物学，农学，材料学，英语，国际贸易，商务英语，市场营销等专业的研究生，现在可以做些什么？

答：报个Java或者python培训班，毕业了当码农或者产品经理",https://weibo.com/2492465520/Gav4Y9ngp?refer_flag=1001030103_,转发13,评论21,22
今天09:00,"【Fast, Multilingual, Configurable Data Generation In Python With Mimesis (Interview)】网页链接 以Python中使用Mimesis的快速、多语言、可配置的数据生成(访谈)。",https://weibo.com/1715118170/Gau9lkPvC?refer_flag=1001030103_,转发11,评论1,6
今天11:21,发布了头条文章：《20个Python项目，正在求职的你了解一下【数据分析篇】》 |20个Python...,https://weibo.com/5126648196/Gav4Mhn2j?refer_flag=1001030103_,转发4,评论,7
-,-,-,-,-,-,-
今天10:44,爱可可-爱生活,【数据科学家Python手册：Python基础/数据结构/流程与函数/NumPy/Pandas】“Python for Data Scientists” by Stephen Rimac GitHub:网页链接,https://weibo.com/1402400261/GauPIeORx?refer_flag=1001030103_,转发44,评论8,28
今天11:22,恶魔奶爸Sam,"奶爸，我考上了生物学，农学，材料学，英语，国际贸易，商务英语，市场营销等专业的研究生，现在可以做些什么？

答：报个Java或者python培训班，毕业了当码农或者产品经理",https://weibo.com/2492465520/Gav4Y9ngp?refer_flag=1001030103_,转发13,评论21,22
今天09:00,网路冷眼,"【Fast, Multilingual, Configurable Data Generation In Python With Mimesis (Interview)】网页链接 以Python中使用Mimesis的快速、多语言、可配置的数据生成(访谈)。",https://weibo.com/1715118170/Gau9lkPvC?refer_flag=1001030103_,转发11,评论1,6
今天11:21,实验楼官方微博,发布了头条文章：《20个Python项目，正在求职的你了解一下【数据分析篇】》 |20个Python...,https://weibo.com/5126648196/Gav4Mhn2j?refer_flag=1001030103_,转发4,评论,7
